"scenario_number","dist_seq_estim2","dist_epi_estim2","perfect_align","proportion_seq_greater","rmse_sequenceRt","rmse_casecountRt"
"007",0.0879499082715185,0.0599896766855781,NA,1,NA,NA
"007",NA,NA,NA,NA,0.296602881254752,0.253301904689146
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"002",0.0961089302751436,0.0531990757026011,NA,1,NA,NA
"002",NA,NA,NA,NA,0.304793579839323,0.215164428671243
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"002",0.0961089302751436,0.0531990757026011,NA,1,NA,NA
"002",NA,NA,NA,NA,0.304793579839323,0.215164428671243
"003",0.097455023437596,0.0714137251054719,NA,1,NA,NA
"003",NA,NA,NA,NA,0.316454873578032,0.246991070861611
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"002",0.0961089302751436,0.0531990757026011,NA,1,NA,NA
"002",NA,NA,NA,NA,0.304793579839323,0.215164428671243
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"002",0.0961089302751436,0.0531990757026011,NA,1,NA,NA
"002",NA,NA,NA,NA,0.304793579839323,0.215164428671243
"003",0.097455023437596,0.0714137251054719,NA,1,NA,NA
"003",NA,NA,NA,NA,0.316454873578032,0.246991070861611
"004",0.101737675193787,0.0565302686008838,NA,1,NA,NA
"004",NA,NA,NA,NA,0.305745498260466,0.268102329736403
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"002",0.0961089302751436,0.0531990757026011,NA,1,NA,NA
"002",NA,NA,NA,NA,0.304793579839323,0.215164428671243
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"002",0.0961089302751436,0.0531990757026011,NA,1,NA,NA
"002",NA,NA,NA,NA,0.304793579839323,0.215164428671243
"003",0.097455023437596,0.0714137251054719,NA,1,NA,NA
"003",NA,NA,NA,NA,0.316454873578032,0.246991070861611
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"002",0.0961089302751436,0.0531990757026011,NA,1,NA,NA
"002",NA,NA,NA,NA,0.304793579839323,0.215164428671243
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"002",0.0961089302751436,0.0531990757026011,NA,1,NA,NA
"002",NA,NA,NA,NA,0.304793579839323,0.215164428671243
"003",0.097455023437596,0.0714137251054719,NA,1,NA,NA
"003",NA,NA,NA,NA,0.316454873578032,0.246991070861611
"004",0.101737675193787,0.0565302686008838,NA,1,NA,NA
"004",NA,NA,NA,NA,0.305745498260466,0.268102329736403
"007",0.0879499082715185,0.0599896766855781,NA,1,NA,NA
"007",NA,NA,NA,NA,0.296602881254752,0.253301904689146
"008",0.082176905049778,0.0729155324755708,NA,1,NA,NA
"008",NA,NA,NA,NA,0.26752946402389,0.266753204511098
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"002",0.0961089302751436,0.0531990757026011,NA,1,NA,NA
"002",NA,NA,NA,NA,0.304793579839323,0.215164428671243
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"002",0.0961089302751436,0.0531990757026011,NA,1,NA,NA
"002",NA,NA,NA,NA,0.304793579839323,0.215164428671243
"003",0.097455023437596,0.0714137251054719,NA,1,NA,NA
"003",NA,NA,NA,NA,0.316454873578032,0.246991070861611
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"002",0.0961089302751436,0.0531990757026011,NA,1,NA,NA
"002",NA,NA,NA,NA,0.304793579839323,0.215164428671243
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"002",0.0961089302751436,0.0531990757026011,NA,1,NA,NA
"002",NA,NA,NA,NA,0.304793579839323,0.215164428671243
"003",0.097455023437596,0.0714137251054719,NA,1,NA,NA
"003",NA,NA,NA,NA,0.316454873578032,0.246991070861611
"004",0.101737675193787,0.0565302686008838,NA,1,NA,NA
"004",NA,NA,NA,NA,0.305745498260466,0.268102329736403
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"002",0.0961089302751436,0.0531990757026011,NA,1,NA,NA
"002",NA,NA,NA,NA,0.304793579839323,0.215164428671243
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"002",0.0961089302751436,0.0531990757026011,NA,1,NA,NA
"002",NA,NA,NA,NA,0.304793579839323,0.215164428671243
"003",0.097455023437596,0.0714137251054719,NA,1,NA,NA
"003",NA,NA,NA,NA,0.316454873578032,0.246991070861611
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"002",0.0961089302751436,0.0531990757026011,NA,1,NA,NA
"002",NA,NA,NA,NA,0.304793579839323,0.215164428671243
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"002",0.0961089302751436,0.0531990757026011,NA,1,NA,NA
"002",NA,NA,NA,NA,0.304793579839323,0.215164428671243
"003",0.097455023437596,0.0714137251054719,NA,1,NA,NA
"003",NA,NA,NA,NA,0.316454873578032,0.246991070861611
"004",0.101737675193787,0.0565302686008838,NA,1,NA,NA
"004",NA,NA,NA,NA,0.305745498260466,0.268102329736403
"007",0.0879499082715185,0.0599896766855781,NA,1,NA,NA
"007",NA,NA,NA,NA,0.296602881254752,0.253301904689146
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"002",0.0961089302751436,0.0531990757026011,NA,1,NA,NA
"002",NA,NA,NA,NA,0.304793579839323,0.215164428671243
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"002",0.0961089302751436,0.0531990757026011,NA,1,NA,NA
"002",NA,NA,NA,NA,0.304793579839323,0.215164428671243
"003",0.097455023437596,0.0714137251054719,NA,1,NA,NA
"003",NA,NA,NA,NA,0.316454873578032,0.246991070861611
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"002",0.0961089302751436,0.0531990757026011,NA,1,NA,NA
"002",NA,NA,NA,NA,0.304793579839323,0.215164428671243
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"002",0.0961089302751436,0.0531990757026011,NA,1,NA,NA
"002",NA,NA,NA,NA,0.304793579839323,0.215164428671243
"003",0.097455023437596,0.0714137251054719,NA,1,NA,NA
"003",NA,NA,NA,NA,0.316454873578032,0.246991070861611
"004",0.101737675193787,0.0565302686008838,NA,1,NA,NA
"004",NA,NA,NA,NA,0.305745498260466,0.268102329736403
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"002",0.0961089302751436,0.0531990757026011,NA,1,NA,NA
"002",NA,NA,NA,NA,0.304793579839323,0.215164428671243
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"002",0.0961089302751436,0.0531990757026011,NA,1,NA,NA
"002",NA,NA,NA,NA,0.304793579839323,0.215164428671243
"003",0.097455023437596,0.0714137251054719,NA,1,NA,NA
"003",NA,NA,NA,NA,0.316454873578032,0.246991070861611
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"002",0.0961089302751436,0.0531990757026011,NA,1,NA,NA
"002",NA,NA,NA,NA,0.304793579839323,0.215164428671243
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"002",0.0961089302751436,0.0531990757026011,NA,1,NA,NA
"002",NA,NA,NA,NA,0.304793579839323,0.215164428671243
"003",0.097455023437596,0.0714137251054719,NA,1,NA,NA
"003",NA,NA,NA,NA,0.316454873578032,0.246991070861611
"004",0.101737675193787,0.0565302686008838,NA,1,NA,NA
"004",NA,NA,NA,NA,0.305745498260466,0.268102329736403
"007",0.0879499082715185,0.0599896766855781,NA,1,NA,NA
"007",NA,NA,NA,NA,0.296602881254752,0.253301904689146
"008",0.082176905049778,0.0729155324755708,NA,1,NA,NA
"008",NA,NA,NA,NA,0.26752946402389,0.266753204511098
"009",0.114722463081273,0.0863984930873449,NA,1,NA,NA
"009",NA,NA,NA,NA,0.354157232631061,0.327306020539664
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"002",0.0961089302751436,0.0531990757026011,NA,1,NA,NA
"002",NA,NA,NA,NA,0.304793579839323,0.215164428671243
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"002",0.0961089302751436,0.0531990757026011,NA,1,NA,NA
"002",NA,NA,NA,NA,0.304793579839323,0.215164428671243
"003",0.097455023437596,0.0714137251054719,NA,1,NA,NA
"003",NA,NA,NA,NA,0.316454873578032,0.246991070861611
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"002",0.0961089302751436,0.0531990757026011,NA,1,NA,NA
"002",NA,NA,NA,NA,0.304793579839323,0.215164428671243
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"002",0.0961089302751436,0.0531990757026011,NA,1,NA,NA
"002",NA,NA,NA,NA,0.304793579839323,0.215164428671243
"003",0.097455023437596,0.0714137251054719,NA,1,NA,NA
"003",NA,NA,NA,NA,0.316454873578032,0.246991070861611
"004",0.101737675193787,0.0565302686008838,NA,1,NA,NA
"004",NA,NA,NA,NA,0.305745498260466,0.268102329736403
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"002",0.0961089302751436,0.0531990757026011,NA,1,NA,NA
"002",NA,NA,NA,NA,0.304793579839323,0.215164428671243
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"002",0.0961089302751436,0.0531990757026011,NA,1,NA,NA
"002",NA,NA,NA,NA,0.304793579839323,0.215164428671243
"003",0.097455023437596,0.0714137251054719,NA,1,NA,NA
"003",NA,NA,NA,NA,0.316454873578032,0.246991070861611
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"002",0.0961089302751436,0.0531990757026011,NA,1,NA,NA
"002",NA,NA,NA,NA,0.304793579839323,0.215164428671243
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"002",0.0961089302751436,0.0531990757026011,NA,1,NA,NA
"002",NA,NA,NA,NA,0.304793579839323,0.215164428671243
"003",0.097455023437596,0.0714137251054719,NA,1,NA,NA
"003",NA,NA,NA,NA,0.316454873578032,0.246991070861611
"004",0.101737675193787,0.0565302686008838,NA,1,NA,NA
"004",NA,NA,NA,NA,0.305745498260466,0.268102329736403
"007",0.0879499082715185,0.0599896766855781,NA,1,NA,NA
"007",NA,NA,NA,NA,0.296602881254752,0.253301904689146
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"002",0.0961089302751436,0.0531990757026011,NA,1,NA,NA
"002",NA,NA,NA,NA,0.304793579839323,0.215164428671243
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"002",0.0961089302751436,0.0531990757026011,NA,1,NA,NA
"002",NA,NA,NA,NA,0.304793579839323,0.215164428671243
"003",0.097455023437596,0.0714137251054719,NA,1,NA,NA
"003",NA,NA,NA,NA,0.316454873578032,0.246991070861611
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"002",0.0961089302751436,0.0531990757026011,NA,1,NA,NA
"002",NA,NA,NA,NA,0.304793579839323,0.215164428671243
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"002",0.0961089302751436,0.0531990757026011,NA,1,NA,NA
"002",NA,NA,NA,NA,0.304793579839323,0.215164428671243
"003",0.097455023437596,0.0714137251054719,NA,1,NA,NA
"003",NA,NA,NA,NA,0.316454873578032,0.246991070861611
"004",0.101737675193787,0.0565302686008838,NA,1,NA,NA
"004",NA,NA,NA,NA,0.305745498260466,0.268102329736403
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"002",0.0961089302751436,0.0531990757026011,NA,1,NA,NA
"002",NA,NA,NA,NA,0.304793579839323,0.215164428671243
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"002",0.0961089302751436,0.0531990757026011,NA,1,NA,NA
"002",NA,NA,NA,NA,0.304793579839323,0.215164428671243
"003",0.097455023437596,0.0714137251054719,NA,1,NA,NA
"003",NA,NA,NA,NA,0.316454873578032,0.246991070861611
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"002",0.0961089302751436,0.0531990757026011,NA,1,NA,NA
"002",NA,NA,NA,NA,0.304793579839323,0.215164428671243
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"002",0.0961089302751436,0.0531990757026011,NA,1,NA,NA
"002",NA,NA,NA,NA,0.304793579839323,0.215164428671243
"003",0.097455023437596,0.0714137251054719,NA,1,NA,NA
"003",NA,NA,NA,NA,0.316454873578032,0.246991070861611
"004",0.101737675193787,0.0565302686008838,NA,1,NA,NA
"004",NA,NA,NA,NA,0.305745498260466,0.268102329736403
"007",0.0879499082715185,0.0599896766855781,NA,1,NA,NA
"007",NA,NA,NA,NA,0.296602881254752,0.253301904689146
"008",0.082176905049778,0.0729155324755708,NA,1,NA,NA
"008",NA,NA,NA,NA,0.26752946402389,0.266753204511098
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"002",0.0961089302751436,0.0531990757026011,NA,1,NA,NA
"002",NA,NA,NA,NA,0.304793579839323,0.215164428671243
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"002",0.0961089302751436,0.0531990757026011,NA,1,NA,NA
"002",NA,NA,NA,NA,0.304793579839323,0.215164428671243
"003",0.097455023437596,0.0714137251054719,NA,1,NA,NA
"003",NA,NA,NA,NA,0.316454873578032,0.246991070861611
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"002",0.0961089302751436,0.0531990757026011,NA,1,NA,NA
"002",NA,NA,NA,NA,0.304793579839323,0.215164428671243
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"002",0.0961089302751436,0.0531990757026011,NA,1,NA,NA
"002",NA,NA,NA,NA,0.304793579839323,0.215164428671243
"003",0.097455023437596,0.0714137251054719,NA,1,NA,NA
"003",NA,NA,NA,NA,0.316454873578032,0.246991070861611
"004",0.101737675193787,0.0565302686008838,NA,1,NA,NA
"004",NA,NA,NA,NA,0.305745498260466,0.268102329736403
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"002",0.0961089302751436,0.0531990757026011,NA,1,NA,NA
"002",NA,NA,NA,NA,0.304793579839323,0.215164428671243
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"002",0.0961089302751436,0.0531990757026011,NA,1,NA,NA
"002",NA,NA,NA,NA,0.304793579839323,0.215164428671243
"003",0.097455023437596,0.0714137251054719,NA,1,NA,NA
"003",NA,NA,NA,NA,0.316454873578032,0.246991070861611
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"002",0.0961089302751436,0.0531990757026011,NA,1,NA,NA
"002",NA,NA,NA,NA,0.304793579839323,0.215164428671243
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"002",0.0961089302751436,0.0531990757026011,NA,1,NA,NA
"002",NA,NA,NA,NA,0.304793579839323,0.215164428671243
"003",0.097455023437596,0.0714137251054719,NA,1,NA,NA
"003",NA,NA,NA,NA,0.316454873578032,0.246991070861611
"004",0.101737675193787,0.0565302686008838,NA,1,NA,NA
"004",NA,NA,NA,NA,0.305745498260466,0.268102329736403
"007",0.0879499082715185,0.0599896766855781,NA,1,NA,NA
"007",NA,NA,NA,NA,0.296602881254752,0.253301904689146
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"002",0.0961089302751436,0.0531990757026011,NA,1,NA,NA
"002",NA,NA,NA,NA,0.304793579839323,0.215164428671243
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"002",0.0961089302751436,0.0531990757026011,NA,1,NA,NA
"002",NA,NA,NA,NA,0.304793579839323,0.215164428671243
"003",0.097455023437596,0.0714137251054719,NA,1,NA,NA
"003",NA,NA,NA,NA,0.316454873578032,0.246991070861611
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"002",0.0961089302751436,0.0531990757026011,NA,1,NA,NA
"002",NA,NA,NA,NA,0.304793579839323,0.215164428671243
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"002",0.0961089302751436,0.0531990757026011,NA,1,NA,NA
"002",NA,NA,NA,NA,0.304793579839323,0.215164428671243
"003",0.097455023437596,0.0714137251054719,NA,1,NA,NA
"003",NA,NA,NA,NA,0.316454873578032,0.246991070861611
"004",0.101737675193787,0.0565302686008838,NA,1,NA,NA
"004",NA,NA,NA,NA,0.305745498260466,0.268102329736403
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"002",0.0961089302751436,0.0531990757026011,NA,1,NA,NA
"002",NA,NA,NA,NA,0.304793579839323,0.215164428671243
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"002",0.0961089302751436,0.0531990757026011,NA,1,NA,NA
"002",NA,NA,NA,NA,0.304793579839323,0.215164428671243
"003",0.097455023437596,0.0714137251054719,NA,1,NA,NA
"003",NA,NA,NA,NA,0.316454873578032,0.246991070861611
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"002",0.0961089302751436,0.0531990757026011,NA,1,NA,NA
"002",NA,NA,NA,NA,0.304793579839323,0.215164428671243
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"001",0.0746704444046929,0.0448148305345105,NA,1,NA,NA
"001",NA,NA,NA,NA,0.29297962264548,0.206134445041284
"002",0.0961089302751436,0.0531990757026011,NA,1,NA,NA
"002",NA,NA,NA,NA,0.304793579839323,0.215164428671243
"003",0.097455023437596,0.0714137251054719,NA,1,NA,NA
"003",NA,NA,NA,NA,0.316454873578032,0.246991070861611
"004",0.101737675193787,0.0565302686008838,NA,1,NA,NA
"004",NA,NA,NA,NA,0.305745498260466,0.268102329736403
"007",0.0879499082715185,0.0599896766855781,NA,1,NA,NA
